468,469,470,471,472,473,-1,-1,-1,468,469,470,471,472,473,468,469,470,471,472,473,468,469,470,471,472,473,-1,-1,-1
498,499,500,501,502,503,-1,-1,-1,498,499,500,501,502,503,498,499,500,501,502,503,498,499,500,501,502,503,-1,-1,-1
528,529,530,531,532,533,-1,-1,-1,528,529,530,531,532,533,528,529,530,531,532,533,528,529,530,531,532,533,-1,-1,-1
558,559,560,561,562,563,-1,-1,-1,558,559,560,561,562,563,558,559,560,561,562,563,558,559,560,561,562,563,-1,-1,-1
588,589,590,591,592,593,-1,-1,-1,588,589,590,591,592,593,588,589,590,591,592,593,588,589,590,591,592,593,-1,-1,-1
618,619,620,621,622,623,-1,-1,-1,618,619,620,621,622,623,618,619,620,621,622,623,618,619,620,621,622,623,-1,-1,-1
648,649,650,651,652,653,-1,-1,-1,648,649,650,651,652,653,648,649,650,651,652,653,648,649,650,651,652,653,-1,-1,-1
678,679,680,681,682,683,-1,-1,-1,678,679,680,681,682,683,678,679,680,681,682,683,678,679,680,681,682,683,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
468,469,470,471,472,473,468,469,470,471,472,473,-1,-1,-1,-1,468,469,470,471,472,473,468,469,470,471,472,473,-1,-1
498,499,500,501,502,503,498,499,500,501,502,503,-1,-1,-1,-1,498,499,500,501,502,503,498,499,500,501,502,503,-1,-1
528,529,530,531,532,533,528,529,530,531,532,533,-1,-1,-1,-1,528,529,530,531,532,533,528,529,530,531,532,533,-1,-1
558,559,560,561,562,563,558,559,560,561,562,563,-1,-1,-1,-1,558,559,560,561,562,563,558,559,560,561,562,563,-1,-1
588,589,590,591,592,593,588,589,590,591,592,593,-1,-1,-1,-1,588,589,590,591,592,593,588,589,590,591,592,593,-1,-1
618,619,620,621,622,623,618,619,620,621,622,623,-1,-1,-1,-1,618,619,620,621,622,623,618,619,620,621,622,623,-1,-1
648,649,650,651,652,653,648,649,650,651,652,653,-1,-1,-1,-1,648,649,650,651,652,653,648,649,650,651,652,653,-1,-1
678,679,680,681,682,683,678,679,680,681,682,683,-1,-1,-1,-1,678,679,680,681,682,683,678,679,680,681,682,683,-1,-1
